user;algorithm;neg_mean_squared_error;feature_user;feature_alcohol_beer;feature_alcohol_otherfermented;feature_alcohol_wine;feature_alcohol_winemix;feature_birthdate;feature_depression_q1;feature_depression_q10;feature_depression_q2;feature_depression_q3;feature_depression_q4;feature_depression_q5;feature_depression_q6;feature_depression_q7;feature_depression_q8;feature_depression_q9;feature_diet_q1;feature_diet_q10;feature_diet_q11;feature_diet_q12;feature_diet_q13;feature_diet_q14;feature_diet_q2;feature_diet_q3;feature_diet_q4;feature_diet_q5;feature_diet_q6;feature_diet_q7;feature_diet_q8;feature_diet_q9;feature_height;feature_measurementtime;feature_med_Acido acetil salicilico;feature_med_Hidroclorotiazida;feature_med_Ibuprofeno;feature_med_Lercanidipino;feature_med_Lorazepam;feature_med_Lormetazepam;feature_med_Naproxeno;feature_med_Paracetamol;feature_med_Sertralina;feature_med_Zolpidem;feature_physical_q1;feature_physical_q2;feature_physical_q3;feature_physical_q4;feature_physical_q5;feature_physical_q6;feature_physical_q7;feature_pulse;feature_smoke_cigarettes;feature_smoke_electronic;feature_social_q1;feature_social_q2;feature_social_q3;feature_social_q4;feature_social_q5;feature_social_q6;feature_social_q7;feature_steps;feature_stress_q1;feature_stress_q10;feature_stress_q11;feature_stress_q12;feature_stress_q13;feature_stress_q14;feature_stress_q2;feature_stress_q3;feature_stress_q4;feature_stress_q5;feature_stress_q6;feature_stress_q7;feature_stress_q8;feature_stress_q9;feature_weather_clouds;feature_weather_feels;feature_weather_humidity;feature_weather_pressure;feature_weather_temp;feature_weather_tempmax;feature_weather_tempmin;feature_weather_windspeed;feature_weight;feature_educationlevel;feature_gender
3;DT;9.01490449417955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7794257039481863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22057429605181367;0.0;0.0;0.0;0.0;0.0;0.0
4;DT;4.5131943910174215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;DT;14.196381803379019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027770531680163947;0.0;0.0;0.030276210746884424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32607879459725525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45291660255759253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16295786041810395;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;DT;5.9891251275123585;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6275937548976067;0.0;0.37240624510239334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;DT;9.651328860544181;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43862631059496804;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5613736894050319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
General;DT;9.609705467422724;0.29837951065632706;0.0;0.009148504763923915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4367206295249303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014877726550110144;0.0;0.013345663081649676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17811043559298026;0.0;0.001107996595884695;0.004332484968427228;0.0;0.0;0.002512038270832338;0.0;0.0;0.0;0.0;0.0;0.0;0.018408943950941992;0.0;0.0;0.0;0.0;0.0;0.0;0.0026316758066152815;0.0;0.0;0.0;0.006449707511225874;0.0;0.0;0.0;0.0;0.009060579691502582;0.0;0.0003762625579026158;0.0007333562292235246;0.003804484247522459;0.0;0.0;0.0;0.0;0.0
1;SVR_dia;8.308277385292142;0.0;0.0;0.0;0.0;0.0;0.0;-1.207458761759687;0.0;0.0;0.0;0.0;0.0;0.0;-1.207458761759687;0.4266018859911158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9667028878579282;0.0;-0.028501421580554798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0374343243638105;0.037434324363813276;0.3582470526965248;-0.029877518730483388;0.017369250262105673;-1.4965835510828442;0.0;0.0;0.0;-1.0725591600524638;0.0;0.0;-1.5913238209720957;-1.0725591600524638;0.0;-2.8357826418550682;-0.18268995603909377;0.3503427086687767;-0.04883727480477301;-0.3039663785004718;0.16191676591039394;-0.37260220968815194;-0.2162474769235173;0.0;0.0;0.0;0.15886836116222613;0.29272677123502244;0.0;0.17961631181802407;-1.287881496055129;-1.070017248883363;-0.3861545929430965;-1.8135722501151186;-0.5918500373942643;-1.7821404022838887;0.5961659375777463;-0.6648357056635052;0.0;0.0;0.0
2;SVR_dia;6.024339976065497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9988995811761288;0.0;-2.1586321700679183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.233135279358207;0.0;0.0;0.0;0.0;0.0;0.0;-0.5548797269055923;-0.12095297520516102;0.0;0.0987128758276718;0.0;0.0;0.0;0.0;-0.3613216407550337;0.0;0.0;0.1487738012423241;0.09286637676286258;-0.10114222916116011;0.07014615677507108;-0.07159360956486505;-0.3510531116725244;-0.09598359078260454;0.785503995002686;0.0;0.0;0.0;0.0;0.0;1.4090144627563168;0.0;0.0;0.0;0.11491341307188896;-0.28500637057872624;-0.10456021259118803;0.12096963573580943;0.0;0.1727489066942245;-0.17274890669422538;-0.2268833623400479;0.12096963573580899;0.0;0.0;0.0;0.285006370578727;-0.16661727305961804;0.0;-0.7150663891659756;-0.17900119280626484;0.18760605221883286;-0.4187360970508267;-0.012912492235601758;0.31070363292055375;-0.12059870271290418;1.5977789495155887;0.0;0.0;0.0
3;SVR_dia;38.49289261617294;0.0;0.0;0.0;0.0;0.0;0.0;-0.8864468367455021;0.11825758859986457;-0.7942181679934168;1.2302082707935136;-0.3730861418882572;0.0;0.0;-0.3730861418882572;0.7964841302813802;0.11825758859986457;0.0;0.0;0.0;0.0;-1.0971984137471393;0.0;0.0;1.1228005427122396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.4641055421007392;-0.2248891890258431;0.0;0.0;0.0;0.0;0.0;-0.8843582692957327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.448620895715073;0.6451942669188979;-3.487640579148776;0.047120126388975336;-0.5095205156418942;0.4088874596832104;1.6277916514906323;-0.8745996993501799;0.10939245613342741;0.0;1.6277916514906323;0.10939245613342741;0.0;-1.6295537720260493;0.7059791848068706;0.0;-0.08776379969685533;-0.35459144056969616;0.0;0.4284344775559424;-0.35459144056969616;-0.35459144056969616;-2.3292094129834178;-1.7148311843770516;0.0;0.0;1.660803751429242;-1.0216169673641675;-2.3340107514796054;-3.0501113811681666;-2.0081223406006505;0.5334519057425721;-0.7161367048877648;-0.7684379083247613;-0.04976222130406294;-0.8440976009749641;0.0;0.0;0.0
4;SVR_dia;5.361866693068528;0.0;-0.0688697953129273;0.0;-0.14440180483415077;-0.47232782335427465;0.0;0.0;0.0;0.0;-0.2343980576122447;0.9168992472074244;0.0;-1.1147528483137465;0.0;1.1147528483137465;0.0;-0.3725813243876356;0.0;0.0;0.0;0.0;-0.7148418279085833;0.0;0.3985994429460913;0.0;0.3985994429460902;0.0;0.0;0.0;0.0;0.0;0.009709351151814483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11295249491112458;0.0;0.0;0.02160858417574421;0.4517449293959846;0.4568773983275228;0.32604112932206925;0.039643907732352796;0.1664076863771077;-0.16640768637710798;0.49463933708981084;0.0;0.0;0.37258132438763186;0.0;-0.040293393580080744;0.11295249491112531;0.0;0.0;0.0;-1.1905077194373233;-0.27323608443744835;-0.08620846061337907;0.5378560561822949;0.0;0.37258132438763186;0.5910525041897058;0.37258132438763186;0.0;-0.37258132438763186;0.0;0.0;-0.08620846061337907;0.5910525041897058;-0.5439954055220122;-0.453957435535595;-0.5774569949660996;-0.3133175741006979;-1.6868983276116782;-0.2933997982357183;0.36949206571067933;-0.4601616127454037;0.45658647827382604;0.0;0.0;0.0
